x y Yield
-59.126479 -37.920067 0.348000
-59.139067 -37.920835 0.360000
-59.128247 -37.920134 0.367000
-59.130962 -37.916779 0.001
-59.129114 -37.920157 0.382000
-59.136241 -37.919142 0.409000
-59.126590 -37.920132 0.409000
-59.126237 -37.920119 0.414000
-59.135589 -37.926962 0.426000
-59.138429 -37.923380 0.429000
-59.138721 -37.920909 0.430000
-59.126977 -37.920135 0.434000
-59.139832 -37.923337 0.434000
-59.126857 -37.920135 0.435000
-59.127127 -37.920137 0.441000
-59.127037 -37.920135 0.443000
-59.130982 -37.917900 0.449000
-59.135561 -37.926359 0.461000
-59.128160 -37.920132 0.462000
-59.136759 -37.919417 0.477000
-59.135531 -37.919590 0.479000
-59.135526 -37.926085 0.503000
-59.139864 -37.922907 0.522000
-59.129372 -37.920175 0.532000
-59.135584 -37.927015 0.533000
-59.138784 -37.920947 0.535000
-59.127387 -37.920145 0.535000
-59.128332 -37.920134 0.535000
-59.130705 -37.919002 0.548000
-59.130915 -37.919192 0.565000
-59.130955 -37.916719 0.574000
-59.126504 -37.920132 0.579000
-59.130939 -37.917030 0.583000
-59.135607 -37.925002 0.585000
-59.138919 -37.920722 0.595000
-59.137997 -37.923339 0.598000
-59.137806 -37.923340 0.600000
-59.131994 -37.920970 0.602000
-59.139522 -37.923360 0.615000
-59.138127 -37.923352 0.627000
-59.127474 -37.920147 0.637000
-59.135566 -37.926470 0.642000
-59.130932 -37.917155 0.643000
-59.129545 -37.920167 0.646000
-59.130433 -37.919352 0.652000
-59.138672 -37.923389 0.658000
-59.137492 -37.923554 0.661000
-59.130917 -37.919745 0.664000
-59.130945 -37.918914 0.666000
-59.135767 -37.919414 0.669000
-59.139157 -37.923365 0.677000
-59.130252 -37.919585 0.682000
-59.129457 -37.920169 0.683000
-59.130614 -37.919119 0.683000
-59.138912 -37.923375 0.683000
-59.129634 -37.920154 0.686000
-59.138549 -37.923392 0.691000
-59.128077 -37.920135 0.692000
-59.128939 -37.920152 0.694000
-59.126325 -37.920125 0.694000
-59.139862 -37.922794 0.702000
-59.130934 -37.917094 0.704000
-59.130161 -37.919702 0.707000
-59.138057 -37.921085 0.708000
-59.135521 -37.925969 0.711000
-59.125485 -37.920305 0.714000
-59.127302 -37.920142 0.717000
-59.130950 -37.918632 0.719000
-59.138896 -37.921032 0.722000
-59.127992 -37.920134 0.723000
-59.130912 -37.919257 0.723000
-59.135579 -37.926572 0.730000
-59.127734 -37.920140 0.733000
-59.138556 -37.920829 0.733000
-59.130942 -37.916965 0.742000
-59.127834 -37.919522 0.745000
-59.135581 -37.926679 0.746000
-59.128417 -37.920132 0.746000
-59.130897 -37.919889 0.748000
-59.138839 -37.920990 0.751000
-59.130925 -37.919675 0.752000
-59.127649 -37.920144 0.758000
-59.139399 -37.923362 0.759000
-59.130925 -37.917279 0.763000
-59.126414 -37.920130 0.765000
-59.135587 -37.926904 0.768000
-59.130930 -37.917215 0.771000
-59.130847 -37.920014 0.773000
-59.138976 -37.923375 0.779000
-59.130342 -37.919469 0.780000
-59.126679 -37.920135 0.781000
-59.126442 -37.919645 0.781000
-59.128679 -37.920132 0.788000
-59.130071 -37.919819 0.793000
-59.135549 -37.926195 0.796000
-59.139617 -37.921575 0.796000
-59.126769 -37.920137 0.800000
-59.130944 -37.918700 0.810000
-59.137869 -37.923342 0.812000
-59.127937 -37.920135 0.821000
-59.131025 -37.918079 0.826000
-59.130902 -37.920149 0.828000
-59.139597 -37.921602 0.830000
-59.130929 -37.919630 0.840000
-59.127215 -37.920139 0.843000
-59.135587 -37.919637 0.843000
-59.130925 -37.919540 0.846000
-59.130949 -37.917844 0.869000
-59.139869 -37.922847 0.873000
-59.138586 -37.920849 0.877000
-59.140124 -37.921975 0.880000
-59.130795 -37.918885 0.885000
-59.138921 -37.920955 0.887000
-59.140719 -37.922510 0.889000
-59.130945 -37.918985 0.891000
-59.138234 -37.921037 0.898000
-59.130922 -37.919495 0.904000
-59.127822 -37.920137 0.907000
-59.130914 -37.919329 0.913000
-59.135581 -37.926627 0.914000
-59.138789 -37.923382 0.916000
-59.135571 -37.926522 0.916000
-59.128764 -37.920132 0.924000
-59.130945 -37.918772 0.929000
-59.130929 -37.917344 0.930000
-59.139461 -37.923360 0.942000
-59.130957 -37.916840 0.943000
-59.135517 -37.925854 0.944000
-59.130955 -37.918447 0.944000
